batch_size,total_epochs,epoch,learning_rate,loss,accuracy,val_loss,val_accuracy
32,50,1,0.0001,0.6202259659767151,0.8481833338737488,0.3184419870376587,0.9135000109672546
32,50,2,0.0001,0.29355770349502563,0.9194999933242798,0.2535095512866974,0.9294999837875366
32,50,3,0.0001,0.24083690345287323,0.9342333078384399,0.2161417007446289,0.9390000104904175
32,50,4,0.0001,0.20705799758434296,0.9425333142280579,0.19256703555583954,0.9452999830245972
32,50,5,0.0001,0.181829571723938,0.9490500092506409,0.17307882010936737,0.9509999752044678
32,50,6,0.0001,0.1620951145887375,0.9546833038330078,0.15809114277362823,0.9559000134468079
32,50,7,0.0001,0.14568282663822174,0.9590333104133606,0.14664185047149658,0.9587000012397766
32,50,8,0.0001,0.13254737854003906,0.9626333117485046,0.13529524207115173,0.9613000154495239
32,50,9,0.0001,0.12099847197532654,0.9659000039100647,0.12602469325065613,0.9641000032424927
32,50,10,0.0001,0.1113269254565239,0.9689333438873291,0.11784399300813675,0.9663000106811523
32,50,11,0.0001,0.1031007394194603,0.9713000059127808,0.11474338173866272,0.9674000144004822
32,50,12,0.0001,0.09554172307252884,0.973800003528595,0.10765329748392105,0.9686999917030334
32,50,13,0.0001,0.08908902853727341,0.9750833511352539,0.10427789390087128,0.9685999751091003
32,50,14,0.0001,0.08305136114358902,0.9770500063896179,0.10039269924163818,0.9697999954223633
32,50,15,0.0001,0.07787638902664185,0.9787499904632568,0.0988139808177948,0.9707000255584717
32,50,16,0.0001,0.0731906071305275,0.9797166585922241,0.09293492138385773,0.9715999960899353
32,50,17,0.0001,0.06885050982236862,0.9814500212669373,0.08965619653463364,0.9731000065803528
32,50,18,0.0001,0.06505733728408813,0.9820333123207092,0.08775396645069122,0.973800003528595
32,50,19,0.0001,0.06130675971508026,0.9833499789237976,0.08633124083280563,0.9749000072479248
32,50,20,0.0001,0.05787447467446327,0.98416668176651,0.0853833258152008,0.9740999937057495
32,50,21,0.0001,0.05481362342834473,0.9853666424751282,0.08269387483596802,0.9750000238418579
32,50,22,0.0001,0.052100490778684616,0.986383318901062,0.08048439770936966,0.9760000109672546
32,50,23,0.0001,0.049232203513383865,0.9872833490371704,0.07971864193677902,0.9760000109672546
32,50,24,0.0001,0.04663565009832382,0.988099992275238,0.07923982292413712,0.9764999747276306
32,50,25,0.0001,0.04451858624815941,0.9884333610534668,0.07864344120025635,0.9769999980926514
32,50,26,0.0001,0.041940491646528244,0.9894166588783264,0.07640985399484634,0.9778000116348267
32,50,27,0.0001,0.040137458592653275,0.9896666407585144,0.07749437540769577,0.9757999777793884
32,50,28,0.0001,0.03824872151017189,0.9905833601951599,0.07396066188812256,0.9779000282287598
32,50,29,0.0001,0.03628166392445564,0.9911999702453613,0.07348757982254028,0.9778000116348267
32,50,30,0.0001,0.034479569643735886,0.9913333058357239,0.07426362484693527,0.9771999716758728
32,50,31,0.0001,0.03285900875926018,0.9920333623886108,0.0739705041050911,0.9769999980926514
32,50,32,0.0001,0.031209222972393036,0.9927499890327454,0.07262136787176132,0.977400004863739
32,50,33,0.0001,0.02973022684454918,0.9930999875068665,0.0709947869181633,0.9782000184059143
32,50,34,0.0001,0.02836764231324196,0.9939166903495789,0.07168073952198029,0.9778000116348267
32,50,35,0.0001,0.027059992775321007,0.9937999844551086,0.07133710384368896,0.9789000153541565
32,50,36,0.0001,0.025799311697483063,0.9940999746322632,0.07263606786727905,0.9771999716758728
32,50,37,0.0001,0.02442619390785694,0.9945666790008545,0.07274486124515533,0.9776999950408936
32,50,38,0.0001,0.023127933964133263,0.9953500032424927,0.07106576859951019,0.978600025177002
32,25,1,0.001,0.2604672312736511,0.9251166582107544,0.13322782516479492,0.9624999761581421
32,25,2,0.001,0.11430035531520844,0.9656833410263062,0.09514468163251877,0.9717000126838684
32,25,3,0.001,0.07917122542858124,0.9756333231925964,0.09047207236289978,0.9715999960899353
32,25,4,0.001,0.05908045172691345,0.9822499752044678,0.08941258490085602,0.9718999862670898
32,25,5,0.001,0.046566739678382874,0.9860333204269409,0.0833747461438179,0.9757999777793884
32,25,6,0.001,0.03590419143438339,0.9891666769981384,0.06946362555027008,0.9785000085830688
32,25,7,0.001,0.027701200917363167,0.9914666414260864,0.07261162996292114,0.9793999791145325
32,25,8,0.001,0.023062221705913544,0.9925166964530945,0.07373245805501938,0.9772999882698059
32,25,9,0.001,0.018193472176790237,0.9942666888237,0.07286691665649414,0.9807000160217285
32,25,10,0.001,0.016098251566290855,0.9949333071708679,0.0830632671713829,0.9778000116348267
32,25,11,0.001,0.013850080780684948,0.9954333305358887,0.08632683753967285,0.9772999882698059
32,15,1,0.01,0.24604909121990204,0.9280999898910522,0.20421232283115387,0.939300000667572
32,15,2,0.01,0.16436591744422913,0.9538999795913696,0.16685016453266144,0.9556000232696533
32,15,3,0.01,0.14697064459323883,0.9595000147819519,0.1690174639225006,0.9595000147819519
32,15,4,0.01,0.13020645081996918,0.9642999768257141,0.1584499329328537,0.9617999792098999
32,15,5,0.01,0.12465682625770569,0.9670666456222534,0.19245374202728271,0.9570000171661377
32,15,6,0.01,0.11976022273302078,0.9693333506584167,0.1821317970752716,0.9614999890327454
32,15,7,0.01,0.10988407582044601,0.9717833399772644,0.20354175567626953,0.9585000276565552
32,15,8,0.01,0.10388518124818802,0.973550021648407,0.21300287544727325,0.9603999853134155
32,15,9,0.01,0.11111058294773102,0.973633348941803,0.22247685492038727,0.9613000154495239
